Location,FIPS,Diabetes_Prevalence_Both_Sexes,Male_Obesity_%,Female_Obesity_%,life_expectancy,mortality_risk_0-5,mortality_risk_5-25,mortality_risk_25-45,mortality_risk_45-65,mortality_risk_65-85,tubercolosis_mortality,AIDS_mortality,diarrheal_mortality,lower_respiratory_mortality,meningitis_mortality,hepatitis_mortality,other_resp_mortality,interstitial_lung_mortality,asthma_mortality,other_pneumoconiosis_mortality,coal_pneumoconiosis_mortality,asbestosis_mortality,silicosis_mortality,pneumoconiosis_mortality,COPD_mortality,chronic_respiratory_mortality
Cullman County,1043,15.03,37.36,40.48,75.31,0.81,1.22,3.74,16.11,59.93,0.21,1.03,2.44,33.16,0.46,0.21,1.29,5.27,0.82,0.44,0.1,0.25,0.01,0.81,81.58,89.78
Dale County,1045,16.78,39.08,44.13,76.26,0.78,0.96,3.35,15.88,56.12,0.27,2.03,1.85,26.2,0.47,0.23,0.98,6.43,1.54,0.3,0.05,0.2,0.03,0.59,75.32,84.85
Dallas County,1047,21.94,39.99,56.22,72.39,1.21,1.52,5.46,21.03,63.14,0.68,4.7,2.81,49.67,1.0,0.23,1.36,6.62,2.47,0.49,0.02,0.14,0.01,0.67,54.46,65.59
DeKalb County,1049,16.01,38.87,40.95,75.25,0.81,1.16,3.82,16.21,60.11,0.29,0.87,2.53,34.55,0.45,0.19,1.35,5.2,0.96,0.4,0.05,0.23,0.01,0.7,93.61,101.83
Elmore County,1051,15.67,36.9,39.31,75.93,0.89,1.14,3.43,15.04,58.3,0.31,2.04,2.56,33.24,0.49,0.18,1.0,5.67,1.01,0.37,0.07,0.23,0.02,0.68,82.9,91.25
Escambia County,1053,17.65,41.63,44.11,74.15,0.99,1.32,4.48,18.31,60.34,0.43,2.75,2.22,32.49,0.59,0.26,1.08,7.04,1.22,0.28,0.04,0.62,0.02,0.95,57.34,67.63
Etowah County,1055,16.24,38.11,39.55,73.85,0.96,1.25,4.48,18.51,62.72,0.29,1.41,3.35,56.2,0.58,0.22,1.24,5.37,1.3,0.49,0.06,0.54,0.02,1.09,88.44,97.44
Fayette County,1057,16.35,42.35,43.86,73.98,1.08,1.36,4.41,18.02,60.99,0.27,1.33,1.9,47.93,0.51,0.17,1.38,8.38,1.26,0.51,0.13,0.43,0.05,1.13,73.92,86.07
Franklin County,1059,16.23,38.4,39.11,73.31,1.08,1.47,4.57,18.99,64.07,0.3,1.13,2.51,43.79,0.52,0.18,1.22,4.84,0.98,0.39,0.06,0.32,0.01,0.78,96.5,104.32
Geneva County,1061,15.88,41.36,43.16,75.54,0.9,1.24,3.77,15.71,57.94,0.22,1.63,1.37,24.28,0.45,0.21,1.02,7.58,1.32,0.3,0.11,0.39,0.02,0.82,68.06,78.8
Greene County,1063,23.7,43.82,58.03,74.05,1.34,1.75,5.03,18.17,55.61,0.49,3.34,2.0,42.98,0.92,0.19,1.68,6.81,2.83,0.58,0.03,0.21,0.03,0.86,45.2,57.38
Hale County,1065,20.44,43.5,55.48,74.01,1.17,1.5,4.72,18.7,58.34,0.31,2.14,2.07,42.37,0.8,0.19,1.45,6.33,1.98,0.54,0.04,0.26,0.02,0.86,50.51,61.15
Henry County,1067,16.77,40.8,47.44,75.97,0.9,1.26,3.95,15.55,54.66,0.29,3.14,1.46,24.05,0.49,0.15,1.01,7.93,1.8,0.35,0.05,0.17,0.02,0.58,59.73,71.04
Houston County,1069,15.61,39.51,41.2,76.81,0.84,1.02,3.29,14.28,54.59,0.3,3.1,1.57,21.96,0.55,0.24,0.93,8.56,1.81,0.3,0.04,0.17,0.01,0.52,55.09,66.9
Jackson County,1071,15.3,37.78,39.83,74.13,0.93,1.36,4.21,17.4,63.31,0.24,0.91,2.28,34.96,0.49,0.2,1.31,5.12,1.3,0.4,0.1,0.22,0.02,0.74,86.22,94.69
Jefferson County,1073,16.1,33.49,43.76,75.34,0.99,1.15,4.2,16.46,56.56,0.48,3.83,3.53,39.55,0.74,0.34,1.35,6.92,1.68,0.39,0.11,0.31,0.04,0.85,48.44,59.24
Lamar County,1075,16.31,40.3,38.32,74.83,1.03,1.28,4.08,17.09,58.69,0.23,1.33,1.41,44.74,0.48,0.17,1.28,5.04,1.25,0.48,0.09,0.33,0.03,0.93,80.67,89.17
Lauderdale County,1077,15.19,34.95,38.85,76.5,0.75,0.99,3.57,14.72,55.85,0.25,1.03,2.46,33.02,0.48,0.21,1.04,7.2,1.16,0.3,0.03,0.55,0.01,0.88,65.65,75.94
Lawrence County,1079,17.25,40.55,46.07,74.33,0.92,1.38,4.36,17.15,62.41,0.25,0.87,2.17,35.66,0.51,0.15,1.29,5.49,1.2,0.44,0.03,0.24,0.01,0.72,83.66,92.36
Lee County,1081,15.98,36.31,39.49,76.52,0.81,0.65,3.17,14.96,57.3,0.37,2.7,1.76,34.98,0.52,0.18,1.02,5.9,1.15,0.37,0.02,0.11,0.01,0.51,65.86,74.45
Limestone County,1083,15.56,39.07,40.91,77.21,0.66,0.96,3.14,13.54,55.04,0.35,2.12,2.63,27.44,0.49,0.17,0.89,5.79,1.07,0.31,0.03,0.26,0.01,0.61,56.56,64.91
Lowndes County,1085,22.47,41.56,55.29,72.57,1.42,1.9,5.9,19.8,59.82,0.55,5.05,2.37,31.34,0.88,0.22,1.6,6.67,2.53,0.57,0.03,0.14,0.02,0.76,44.33,55.88
Macon County,1087,22.98,39.87,53.85,72.81,1.36,1.38,5.99,20.84,57.88,0.54,5.05,2.53,37.59,0.91,0.21,1.47,5.26,2.07,0.44,0.02,0.11,0.02,0.58,35.97,45.36
Madison County,1089,14.57,33.98,38.01,78.07,0.68,0.84,2.78,12.64,52.45,0.41,1.38,2.17,31.13,0.54,0.15,0.95,6.18,1.17,0.33,0.02,0.09,0.01,0.44,53.14,61.87
Marengo County,1091,19.43,41.86,50.59,74.68,1.18,1.46,4.34,16.79,57.97,0.26,1.8,1.56,35.22,0.69,0.17,1.3,5.89,1.63,0.45,0.03,0.27,0.02,0.77,52.67,62.26
Marion County,1093,15.52,38.89,39.15,74.54,1.05,1.41,4.33,17.02,59.41,0.24,1.03,1.81,40.09,0.44,0.16,1.24,5.08,1.18,0.5,0.14,0.37,0.02,1.03,79.24,87.77
Marshall County,1095,16.08,37.24,38.74,74.53,0.95,1.32,4.25,17.12,60.63,0.28,0.99,2.83,39.64,0.51,0.18,1.3,5.11,1.07,0.43,0.05,0.18,0.01,0.68,97.47,105.63
Mobile County,1097,17.05,38.07,42.05,75.13,0.95,1.19,4.36,16.65,57.61,0.38,5.7,1.63,36.03,0.59,0.44,1.02,7.39,1.44,0.29,0.03,0.82,0.02,1.16,54.82,65.83
Monroe County,1099,18.04,38.97,49.73,74.97,1.09,1.42,4.45,16.58,56.87,0.28,2.14,1.56,37.04,0.59,0.2,1.08,6.3,1.26,0.36,0.03,0.28,0.02,0.69,55.39,64.72
Montgomery County,1101,17.94,36.58,45.12,75.83,1.02,1.08,3.79,15.49,56.31,0.69,6.14,2.55,31.92,0.78,0.26,1.17,6.7,1.97,0.36,0.04,0.09,0.01,0.51,57.69,68.04
Morgan County,1103,15.97,38.34,40.37,76.21,0.79,1.08,3.5,14.86,57.23,0.26,1.04,2.27,33.36,0.48,0.17,1.13,4.86,0.86,0.4,0.09,0.16,0.02,0.67,69.29,76.82
Perry County,1105,23.4,42.66,57.36,72.31,1.35,1.74,5.69,20.42,62.06,0.4,2.15,2.6,36.0,0.87,0.19,1.6,6.03,2.39,0.61,0.09,0.22,0.03,0.95,56.22,67.18
Pickens County,1107,19.11,41.8,48.27,74.55,1.17,1.47,4.36,16.54,59.25,0.39,1.93,1.67,57.1,0.64,0.16,1.47,6.03,1.44,0.51,0.04,0.23,0.03,0.8,54.2,63.94
Pike County,1109,17.83,39.03,46.49,74.9,1.07,1.06,4.3,17.15,58.05,0.4,4.09,2.07,38.91,0.65,0.24,1.26,6.58,1.81,0.41,0.03,0.12,0.02,0.58,62.54,72.77
Randolph County,1111,16.49,40.24,43.97,74.65,1.08,1.49,4.39,17.2,57.86,0.22,1.68,2.27,40.05,0.56,0.18,1.12,4.74,1.24,0.45,0.03,0.15,0.02,0.63,65.56,73.3
Russell County,1113,19.44,41.32,48.28,74.43,0.93,1.19,4.15,18.34,59.86,0.45,4.01,1.83,41.61,0.63,0.19,1.1,5.95,1.42,0.37,0.02,0.12,0.01,0.52,71.37,80.35
Saint Clair County,1115,14.93,37.66,42.86,74.98,0.83,1.19,3.8,16.87,60.82,0.26,1.1,3.11,45.46,0.48,0.24,1.1,5.11,1.17,0.45,0.17,0.69,0.04,1.34,82.78,91.5
Shelby County,1117,12.26,37.17,32.38,79.53,0.56,0.81,2.16,10.4,49.56,0.22,0.9,2.78,31.1,0.43,0.19,0.74,5.44,0.76,0.38,0.19,0.39,0.02,0.99,45.7,53.63
Sumter County,1119,24.33,41.05,54.78,74.82,1.35,1.3,4.76,17.25,54.51,0.51,3.71,1.81,42.33,0.89,0.18,1.44,5.27,2.2,0.54,0.02,0.19,0.02,0.77,41.81,51.49
Talladega County,1121,17.15,39.97,48.7,74.29,1.04,1.28,4.08,17.88,61.03,0.34,2.08,3.04,48.46,0.71,0.21,1.14,5.35,1.54,0.51,0.03,0.19,0.03,0.75,80.88,89.67
Tallapoosa County,1123,16.41,37.54,45.24,75.01,0.95,1.26,4.31,16.45,58.59,0.29,2.15,2.41,44.48,0.58,0.18,1.18,4.72,1.14,0.4,0.03,0.15,0.02,0.61,75.44,83.09
Tuscaloosa County,1125,16.04,37.18,43.03,75.8,1.01,0.84,3.59,15.61,57.84,0.42,1.77,1.64,49.87,0.57,0.18,1.18,7.65,1.2,0.44,0.14,0.29,0.04,0.91,60.06,71.0
Walker County,1127,15.71,39.02,42.46,71.57,1.18,1.76,6.08,21.23,66.66,0.28,1.37,3.17,54.55,0.54,0.26,1.44,7.07,1.39,0.51,0.92,0.4,0.06,1.9,107.9,119.7
Washington County,1129,17.87,40.58,46.19,74.82,1.11,1.5,4.21,16.68,57.97,0.26,2.0,1.67,28.12,0.54,0.18,1.09,6.29,1.15,0.37,0.03,1.31,0.02,1.74,54.21,64.48
Wilcox County,1131,23.12,41.9,57.84,72.21,1.45,1.96,5.92,20.76,59.74,0.46,3.25,1.95,32.19,0.89,0.24,1.45,6.53,2.32,0.49,0.03,0.31,0.02,0.85,53.9,65.03
Winston County,1133,15.95,38.5,41.95,74.51,0.98,1.37,4.15,17.28,60.83,0.26,1.12,2.19,39.96,0.47,0.18,1.31,5.57,1.15,0.51,0.15,0.28,0.02,0.96,100.58,109.56
Aleutians East Borough,2013,15.63,29.72,37.76,83.73,0.41,0.52,1.57,6.65,34.7,0.73,0.24,1.64,14.02,0.41,0.11,0.6,5.02,1.11,0.17,0.14,0.13,0.03,0.46,26.76,33.95
Aleutians West Census Area,2016,15.63,30.7,36.23,83.73,0.41,0.52,1.57,6.65,34.7,0.73,0.24,1.64,14.02,0.41,0.11,0.6,5.02,1.11,0.17,0.14,0.13,0.03,0.46,26.76,33.95
Anchorage Municipality,2020,12.22,31.84,36.67,78.68,0.61,0.93,2.83,11.19,50.7,0.56,1.07,1.32,17.13,0.43,0.39,1.0,6.06,1.51,0.14,0.02,0.16,0.02,0.34,37.62,46.53
Bethel Census Area,2050,17.93,36.08,51.22,74.29,1.41,2.32,5.47,14.6,56.45,2.24,0.81,2.28,38.14,0.83,0.21,0.93,8.04,1.74,0.18,0.04,0.07,0.01,0.3,66.78,77.79
Bristol Bay Borough,2060,13.69,36.94,41.95,76.7,1.02,1.28,3.64,14.42,53.23,0.6,0.94,1.36,14.38,0.44,0.14,0.78,5.88,1.35,0.16,0.2,0.22,0.04,0.62,50.16,58.79
Denali Borough,2068,14.48,,,74.5,1.28,2.47,5.38,15.67,52.94,0.64,0.51,1.55,27.75,0.55,0.13,0.94,6.04,1.23,0.18,0.04,0.11,0.02,0.35,52.58,61.13
Dillingham Census Area,2070,16.28,36.02,48.85,75.15,1.17,1.85,4.84,14.86,54.79,1.03,0.56,1.98,26.36,0.64,0.14,0.95,7.82,1.69,0.2,0.07,0.12,0.02,0.41,60.28,71.15
Fairbanks North Star Borough,2090,10.42,35.43,33.28,79.35,0.55,0.79,2.4,10.71,49.34,0.37,0.6,1.55,18.13,0.37,0.18,0.87,6.33,1.32,0.18,0.02,0.11,0.02,0.33,45.77,54.63
Haines Borough,2100,9.72,35.59,38.27,79.65,0.63,0.89,2.63,10.84,45.59,0.25,0.33,0.69,9.75,0.26,0.14,1.01,7.89,2.24,0.2,0.09,0.19,0.05,0.54,39.35,51.02
Hoonah-Angoon Census Area,2105,11.81,,,79.9,0.66,0.99,2.74,10.65,44.38,0.42,0.37,0.96,13.71,0.39,0.16,0.86,6.13,1.69,0.17,0.02,0.1,0.02,0.31,29.58,38.57
Juneau City and Borough,2110,10.23,32.78,36.55,80.35,0.57,0.81,2.38,9.53,45.33,0.53,0.6,0.9,14.42,0.31,0.16,0.87,7.38,2.61,0.21,0.04,0.11,0.04,0.4,33.74,45.01
Kenai Peninsula Borough,2122,10.53,35.49,39.26,78.61,0.65,1.08,3.19,11.27,49.33,0.24,0.52,1.31,14.82,0.36,0.23,0.98,5.44,1.47,0.17,0.03,0.12,0.02,0.34,42.92,51.15
Ketchikan Gateway Borough,2130,11.77,,,78.19,0.65,1.11,3.02,11.3,51.93,0.44,0.47,1.08,17.82,0.39,0.24,1.09,6.85,1.97,0.18,0.04,0.18,0.03,0.43,45.16,55.5
Kodiak Island Borough,2150,12.01,32.95,35.79,79.59,0.67,1.01,2.83,10.84,45.18,0.37,0.43,1.47,21.3,0.42,0.16,0.84,5.99,1.28,0.18,0.08,0.29,0.02,0.56,41.7,50.37
Kusilvak Census Area,2158,18.54,,,70.83,1.93,3.16,6.98,18.92,64.12,2.87,1.52,2.7,59.04,1.08,0.26,1.09,9.92,2.23,0.22,0.07,0.07,0.02,0.38,102.27,115.9
Lake and Peninsula Borough,2164,16.28,40.21,52.03,75.15,1.17,1.85,4.84,14.86,54.79,1.03,0.56,1.98,26.36,0.64,0.14,0.95,7.82,1.69,0.2,0.07,0.12,0.02,0.41,60.28,71.15
Matanuska-Susitna Borough,2170,11.4,34.72,37.77,78.11,0.68,1.19,3.04,11.73,51.58,0.25,0.45,1.14,14.19,0.36,0.33,0.96,5.6,1.59,0.18,0.03,0.13,0.02,0.35,44.95,53.46
Nome Census Area,2180,15.88,33.33,46.27,72.63,1.63,2.45,5.98,17.66,58.93,1.57,0.84,2.35,30.01,0.88,0.17,0.82,6.42,1.32,0.16,0.04,0.08,0.02,0.3,63.28,72.14
North Slope Borough,2185,15.74,37.37,43.81,77.09,1.13,1.5,4.02,11.57,51.12,0.66,0.69,1.91,25.55,0.62,0.13,0.77,5.99,1.11,0.22,0.09,0.2,0.15,0.66,81.15,89.68
Northwest Arctic Borough,2188,16.66,37.21,51.25,74.51,1.47,2.32,5.35,15.15,53.7,1.29,0.91,2.71,38.17,0.84,0.15,0.76,6.95,1.24,0.23,0.04,0.08,0.03,0.37,54.06,63.38
Petersburg Borough,2195,11.77,,,78.19,0.65,1.11,3.02,11.3,51.93,0.44,0.47,1.08,17.82,0.39,0.24,1.09,6.85,1.97,0.18,0.04,0.18,0.03,0.43,45.16,55.5
Prince of Wales-Hyder Census Area,2198,11.77,,,78.19,0.65,1.11,3.02,11.3,51.93,0.44,0.47,1.08,17.82,0.39,0.24,1.09,6.85,1.97,0.18,0.04,0.18,0.03,0.43,45.16,55.5
Sitka City and Borough,2220,10.81,35.16,32.53,79.94,0.56,0.84,2.55,10.05,46.65,0.76,0.46,0.9,14.37,0.34,0.2,0.96,8.18,2.09,0.18,0.06,0.15,0.03,0.42,41.13,52.76
Skagway Municipality,2230,11.81,,,79.9,0.66,0.99,2.74,10.65,44.38,0.42,0.37,0.96,13.71,0.39,0.16,0.86,6.13,1.69,0.17,0.02,0.1,0.02,0.31,29.58,38.57
Southeast Fairbanks Census Area,2240,11.35,36.75,37.07,77.77,0.78,1.12,3.2,12.66,50.88,0.21,0.31,1.11,16.38,0.35,0.17,0.88,4.79,1.29,0.21,0.05,0.25,0.03,0.54,35.07,42.57
Valdez-Cordova Census Area,2261,11.09,35.08,38.38,78.0,0.78,1.19,3.31,11.86,50.42,0.21,0.25,1.01,15.88,0.36,0.15,0.92,5.3,1.34,0.2,0.03,0.13,0.02,0.38,43.73,51.66
Wrangell City and Borough,2275,11.77,,,78.19,0.65,1.11,3.02,11.3,51.93,0.44,0.47,1.08,17.82,0.39,0.24,1.09,6.85,1.97,0.18,0.04,0.18,0.03,0.43,45.16,55.5
Yakutat City and Borough,2282,11.81,36.79,39.91,79.9,0.66,0.99,2.74,10.65,44.38,0.42,0.37,0.96,13.71,0.39,0.16,0.86,6.13,1.69,0.17,0.02,0.1,0.02,0.31,29.58,38.57
Yukon-Koyukuk Census Area,2290,14.48,,,74.5,1.28,2.47,5.38,15.67,52.94,0.64,0.51,1.55,27.75,0.55,0.13,0.94,6.04,1.23,0.18,0.04,0.11,0.02,0.35,52.58,61.13
Apache County,4001,20.84,36.44,49.35,74.28,1.07,2.35,7.29,15.12,51.59,0.89,1.36,3.91,52.92,0.95,0.25,0.94,13.77,1.2,0.3,0.41,0.34,0.36,1.41,32.99,50.32
Cochise County,4003,13.87,31.04,36.13,78.83,0.67,0.89,2.85,11.98,48.29,0.16,0.66,3.17,27.4,0.46,0.27,0.72,4.29,0.86,0.16,0.04,0.21,0.06,0.47,42.9,49.23
Coconino County,4005,13.86,26.68,32.88,79.4,0.72,0.92,3.43,10.5,45.33,0.35,0.77,2.23,27.05,0.51,0.25,0.75,7.13,1.06,0.19,0.05,0.2,0.04,0.49,37.07,46.49
Gila County,4007,14.55,35.59,38.1,76.26,0.94,1.49,4.75,14.48,50.82,0.28,1.09,2.39,20.59,0.59,0.41,0.86,5.14,1.2,0.16,0.03,0.14,0.09,0.42,62.01,69.64
Graham County,4009,15.74,38.59,42.58,77.52,0.82,1.04,3.34,13.21,51.5,0.21,0.79,3.08,28.76,0.55,0.29,0.79,5.58,1.19,0.17,0.03,0.13,0.07,0.4,49.28,57.24
Greenlee County,4011,15.23,35.97,39.23,78.25,0.72,1.03,2.99,12.19,50.71,0.17,0.67,2.52,21.06,0.41,0.24,0.65,4.86,0.95,0.2,0.1,0.26,1.15,1.71,46.88,55.05
La Paz County,4012,16.67,41.24,41.53,80.68,0.61,0.78,2.76,11.54,38.6,0.31,1.05,2.1,26.54,0.41,0.31,0.61,4.03,0.92,0.11,0.02,0.17,0.02,0.32,39.2,45.08
Maricopa County,4013,13.38,31.59,32.59,80.06,0.61,0.81,2.55,10.74,44.32,0.26,1.72,2.36,14.61,0.41,0.33,0.61,4.76,1.04,0.07,0.02,0.1,0.02,0.21,44.59,51.21
Mohave County,4015,13.57,35.17,33.58,75.71,0.85,1.32,4.51,16.27,53.4,0.22,1.77,1.97,26.85,0.47,0.41,0.87,4.58,1.11,0.17,0.02,0.15,0.03,0.38,65.04,71.97
Navajo County,4017,16.95,35.41,42.58,75.71,0.96,1.94,5.74,14.24,50.38,0.38,1.07,3.15,35.14,0.77,0.38,0.95,6.74,1.12,0.19,0.05,0.1,0.04,0.38,41.74,50.93
Pima County,4019,12.98,31.36,33.44,79.46,0.59,0.79,3.01,11.58,45.2,0.25,1.68,3.27,18.86,0.43,0.3,0.63,5.13,1.28,0.14,0.02,0.14,0.02,0.32,42.59,49.95
Pinal County,4021,15.76,39.6,40.35,80.17,0.6,1.01,2.98,11.5,40.1,0.23,1.28,2.06,14.2,0.5,0.48,0.63,4.66,1.07,0.11,0.01,0.15,0.04,0.31,43.62,50.29
Santa Cruz County,4023,16.42,32.25,37.0,81.97,0.49,0.66,2.0,8.32,39.98,0.21,0.56,2.86,17.47,0.38,0.27,0.53,4.41,0.95,0.12,0.02,0.1,0.02,0.27,24.03,30.18
Yavapai County,4025,12.08,29.68,29.22,79.02,0.66,1.01,3.36,11.67,45.73,0.16,0.85,3.06,23.39,0.4,0.39,0.68,4.7,1.36,0.14,0.02,0.17,0.03,0.37,49.76,56.87
Yuma County,4027,16.67,39.04,41.39,80.68,0.61,0.78,2.76,11.54,38.6,0.31,1.05,2.1,26.54,0.41,0.31,0.61,4.03,0.92,0.11,0.02,0.17,0.02,0.32,39.2,45.08
Arkansas County,5001,16.21,40.0,44.9,74.57,0.95,1.35,4.3,17.02,60.05,0.23,1.29,1.48,41.39,0.52,0.24,0.94,4.52,1.99,0.34,0.02,0.16,0.02,0.53,68.39,76.38
Ashley County,5003,16.26,38.84,45.48,74.72,1.03,1.35,4.3,16.75,59.19,0.28,1.81,1.69,37.98,0.55,0.22,0.91,4.81,1.37,0.32,0.07,0.62,0.04,1.05,53.6,61.73
Baxter County,5005,12.93,34.73,34.04,76.94,0.82,1.23,3.52,14.23,52.67,0.14,0.7,2.42,32.56,0.42,0.23,0.87,5.84,1.14,0.25,0.04,0.1,0.01,0.4,58.35,66.59
Benton County,5007,14.17,35.82,34.02,79.39,0.65,0.84,2.45,11.44,47.4,0.18,0.69,1.99,22.53,0.4,0.3,0.62,5.05,0.78,0.21,0.01,0.09,0.01,0.32,46.55,53.33
Boone County,5009,13.7,34.49,33.15,77.22,0.79,1.0,3.23,13.35,53.84,0.14,0.65,2.12,32.64,0.42,0.19,0.83,4.76,1.02,0.27,0.07,0.17,0.01,0.52,55.55,62.68
Bradley County,5011,17.19,38.92,46.68,74.49,1.02,1.3,4.42,16.99,60.46,0.36,2.02,1.87,52.92,0.61,0.21,0.93,4.93,1.86,0.31,0.03,0.33,0.03,0.7,46.52,54.95
Calhoun County,5013,16.14,39.29,44.74,75.71,1.02,1.32,4.13,15.88,54.19,0.28,1.43,1.76,32.91,0.51,0.2,0.91,5.23,1.5,0.34,0.05,0.5,0.04,0.93,60.43,69.0
Carroll County,5015,14.28,36.01,33.62,77.97,0.78,1.0,3.3,12.57,50.69,0.18,0.87,2.19,30.84,0.42,0.24,0.79,4.67,1.05,0.25,0.07,0.18,0.02,0.52,50.89,57.92
Chicot County,5017,20.22,41.79,52.36,73.35,1.24,1.72,4.95,19.16,60.27,0.44,3.07,1.97,43.1,0.71,0.21,1.16,4.86,2.05,0.37,0.02,0.24,0.02,0.65,48.79,57.51
Clark County,5019,16.06,38.76,40.05,75.9,0.85,0.92,3.66,15.79,57.68,0.32,1.41,2.72,39.98,0.56,0.27,0.91,5.68,1.43,0.29,0.04,0.42,0.05,0.81,53.58,62.4
Clay County,5021,14.88,42.02,42.39,74.77,0.94,1.34,4.07,17.11,59.62,0.15,0.59,2.41,49.06,0.46,0.27,1.09,4.85,1.23,0.31,0.03,0.08,0.01,0.42,65.19,72.78
